epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3083,0.49071,1.0787,2.03167,0.93279,0,1,0.39279,0.91415,0.84348,1,0.39279,0.90465,0.73168,0.40916,1.12532,2.54451,0.88041,0,0.00053344,0.00053344,0.00053344
2,50.1121,0.50972,0.68613,1.13242,0.91584,0,0.98188,0.77741,0.87969,0.75008,0.95958,0.75376,0.84528,0.61351,0.675,1.9643,2.26062,0.99787,0,0.00107114,0.00107114,0.00107114
3,77.503,0.50932,0.71094,1.06232,0.91393,0,0.96639,0.83243,0.91875,0.71819,0.97427,0.83794,0.90817,0.50672,0.78717,3.17017,1.84088,1.00424,0,0.0015905,0.0015905,0.0015905
4,105.878,0.53579,0.68931,0.97794,0.91545,0,0.96253,0.91735,0.94343,0.79264,0.93748,0.88713,0.90202,0.67588,0.61154,1.91917,1.33283,0.95834,0,0.00158448,0.00158448,0.00158448
5,133.944,0.53924,0.7657,0.91088,0.92153,0,0.97447,0.90063,0.93758,0.83688,0.97447,0.90063,0.93753,0.7974,0.50041,0.91752,1.11931,0.88325,0,0.00155698,0.00155698,0.00155698
6,161.808,0.53591,0.67982,0.86008,0.91098,0,0.98842,0.93895,0.9527,0.89684,0.98842,0.93895,0.95475,0.85608,0.40594,0.77636,0.8526,0.83309,0,0.00152947,0.00152947,0.00152947
7,188.965,0.49443,0.63417,0.78048,0.90073,0,0.97755,0.94444,0.955,0.90001,0.97755,0.94444,0.95649,0.85427,0.38986,0.71782,0.91648,0.82391,0,0.00150197,0.00150197,0.00150197
8,216.145,0.49878,0.58171,0.71767,0.90314,0,0.98784,0.93437,0.95695,0.89119,0.98784,0.93437,0.95733,0.85747,0.39575,0.74395,0.77894,0.80902,0,0.00147446,0.00147446,0.00147446
9,246.294,0.47776,0.60155,0.70203,0.89367,0,0.98844,0.95559,0.96541,0.9124,0.98844,0.95559,0.96551,0.90131,0.34732,0.51454,0.60275,0.79491,0,0.00144696,0.00144696,0.00144696
10,274.978,0.45147,0.55505,0.63373,0.88823,0,0.94039,0.95247,0.96763,0.93001,0.94039,0.95247,0.96248,0.90077,0.32883,0.59105,0.68836,0.79467,0,0.00141945,0.00141945,0.00141945
11,302.957,0.44955,0.54268,0.66705,0.89256,0,0.99894,0.95565,0.96087,0.92144,0.99894,0.95565,0.96096,0.88344,0.31245,0.68336,0.57295,0.78152,0,0.00139195,0.00139195,0.00139195
12,330.797,0.43877,0.58084,0.60454,0.88989,0,0.9913,0.96296,0.97143,0.93679,0.9913,0.96296,0.96466,0.90492,0.31464,0.5597,0.54688,0.79678,0,0.00136444,0.00136444,0.00136444
13,359.259,0.45046,0.54177,0.55663,0.91654,0,0.98783,0.96296,0.96683,0.93362,0.98783,0.96296,0.96678,0.89077,0.30111,0.59195,0.51034,0.79085,0,0.00133693,0.00133693,0.00133693
14,387.026,0.42687,0.55316,0.54419,0.87754,0,0.99806,0.95539,0.96151,0.93231,0.99806,0.95539,0.96168,0.90775,0.3052,0.50397,0.45827,0.7831,0,0.00130943,0.00130943,0.00130943
15,415.516,0.39447,0.51448,0.49617,0.86369,0,0.98282,0.96141,0.96575,0.94157,0.98282,0.96141,0.96607,0.90255,0.27174,0.49485,0.41847,0.7761,0,0.00128192,0.00128192,0.00128192
16,444.665,0.38486,0.50672,0.48754,0.88125,0,0.99557,0.96215,0.97756,0.93676,0.99557,0.96215,0.96463,0.90539,0.29507,0.54731,0.40803,0.78693,0,0.00125442,0.00125442,0.00125442
17,474.889,0.36585,0.52583,0.47183,0.86536,0,0.99102,0.95679,0.97693,0.94595,0.99102,0.95679,0.9733,0.90607,0.27834,0.52764,0.3874,0.77826,0,0.00122691,0.00122691,0.00122691
18,504.103,0.37859,0.53025,0.46441,0.87722,0,0.99893,0.95679,0.97945,0.95465,0.99893,0.95679,0.97524,0.9147,0.25856,0.561,0.33979,0.76496,0,0.00119941,0.00119941,0.00119941
