epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6227,0.49402,1.35393,2.0979,1.02669,0,1,0.17573,0.81351,0.68703,0.98021,0.16948,0.79576,0.57676,0.51071,1.23639,2.59004,1.02455,0,0.000524796,0.000524796,0.000524796
2,90.5376,0.48717,0.81506,1.07936,0.98723,0,0.78152,0.63292,0.73532,0.49199,0.78911,0.61553,0.70472,0.44589,0.9845,2.1597,2.29514,1.5482,0,0.00106264,0.00106264,0.00106264
3,121.285,0.53342,0.89154,1.02105,1.01269,0,0.69076,0.76875,0.81431,0.56571,0.68396,0.76561,0.7953,0.47062,0.82664,2.45158,2.32906,1.28859,0,0.00158214,0.00158214,0.00158214
4,151.994,0.54645,0.83636,0.9984,1.02299,0,0.77271,0.78125,0.82396,0.60615,0.73216,0.7375,0.75557,0.48337,0.87671,2.12404,2.25919,1.42115,0,0.00158448,0.00158448,0.00158448
5,182.434,0.53207,0.7339,0.92086,1.0069,0,0.8688,0.875,0.91315,0.71264,0.86904,0.88327,0.92001,0.69843,0.7648,1.43313,3.21746,1.317,0,0.00155698,0.00155698,0.00155698
6,212.676,0.49396,0.69092,0.83843,0.98462,0,0.94662,0.94122,0.97159,0.84505,0.94074,0.93497,0.95859,0.7941,0.56808,1.22322,1.6304,1.06924,0,0.00152947,0.00152947,0.00152947
7,242.911,0.47027,0.67986,0.82218,0.98562,0,0.49717,0.95625,0.56021,0.50271,0.50449,0.95,0.55758,0.47508,0.50093,1.36123,3.81911,1.00746,0,0.00150197,0.00150197,0.00150197
8,272.529,0.47841,0.65459,0.79919,0.99078,0,0.95486,0.89644,0.94355,0.80122,0.9553,0.89714,0.94602,0.75204,0.61992,1.08035,1.22914,1.12256,0,0.00147446,0.00147446,0.00147446
9,302.747,0.46984,0.66885,0.75425,0.96741,0,0.90802,0.90885,0.96433,0.85289,0.87156,0.95048,0.96912,0.81359,0.53247,0.86871,1.15672,1.01659,0,0.00144696,0.00144696,0.00144696
10,332.907,0.44678,0.61917,0.71536,0.96663,0,0.98914,0.95425,0.97552,0.92188,1,0.96552,0.98321,0.85866,0.38887,0.86883,0.81412,0.89908,0,0.00141945,0.00141945,0.00141945
11,362.957,0.4052,0.60105,0.63702,0.94748,0,0.97789,0.93125,0.97979,0.89873,0.97789,0.93125,0.98492,0.83419,0.41841,0.9203,0.8959,0.92042,0,0.00139195,0.00139195,0.00139195
12,393.361,0.42038,0.56503,0.64918,0.95658,0,0.98349,0.95,0.98107,0.91019,0.98104,0.95993,0.98214,0.89958,0.43822,0.67784,0.8452,0.94007,0,0.00136444,0.00136444,0.00136444
13,424.44,0.40538,0.54313,0.60016,0.94221,0,0.97243,0.96875,0.98233,0.9248,0.9873,0.97212,0.98189,0.90148,0.36883,0.60348,0.71999,0.88942,0,0.00133693,0.00133693,0.00133693
14,461.243,0.39232,0.56863,0.5892,0.92921,0,0.98444,0.95361,0.97848,0.9096,0.98444,0.95361,0.98149,0.86466,0.42193,0.67801,0.81698,0.93162,0,0.00130943,0.00130943,0.00130943
15,495.02,0.3893,0.57653,0.56289,0.91898,0,0.97168,0.9625,0.97568,0.87588,0.978,0.96875,0.9788,0.80581,0.50465,0.85126,0.77015,0.98484,0,0.00128192,0.00128192,0.00128192
16,528.476,0.38022,0.5752,0.56369,0.92756,0,0.9715,0.95625,0.98476,0.90909,0.97767,0.9625,0.98563,0.87074,0.41504,0.70677,0.65887,0.92318,0,0.00125442,0.00125442,0.00125442
17,563.948,0.38114,0.52269,0.53133,0.92139,0,0.97825,0.96184,0.98849,0.93737,0.97825,0.96184,0.98801,0.89781,0.33592,0.6423,0.68026,0.86038,0,0.00122691,0.00122691,0.00122691
18,596.259,0.37454,0.53498,0.51862,0.92695,0,0.9813,0.97958,0.98529,0.91781,0.98748,0.98583,0.98951,0.87724,0.37814,0.67593,0.66361,0.90931,0,0.00119941,0.00119941,0.00119941
19,632.138,0.36516,0.56241,0.50489,0.93016,0,0.98439,0.975,0.98481,0.92571,0.98439,0.975,0.98542,0.89926,0.36834,0.63168,0.61263,0.88761,0,0.0011719,0.0011719,0.0011719
